股票代码,股票简称,现价(元),涨跌幅(%),解禁股类型2020.01.01-2020.12.31,解禁日期2020.01.01-2020.12.31,总解禁股数(股)2020.01.01-2020.12.31,总解禁金额(元)2020.01.01-2020.12.31,解禁成本(元)2020.01.01-2020.12.31
000981.SZ,*ST银亿,1.87,0.54,定向增发机构配售股份,20201109,--,--,8.01
000993.SZ,闽东电力,7.06,-0.42,定向增发机构配售股份,20201130,--,--,8.24
001872.SZ,招商港口,16.51,1.79,定向增发机构配售股份,20201104,--,--,16.70
001896.SZ,豫能控股,4.11,-2.61,定向增发机构配售股份,20201027,--,--,9.30
002002.SZ,鸿达兴业,3.96,1.02,定向增发机构配售股份,20200908,--,--,7.09
002009.SZ,天奇股份,9.83,-2.96,定向增发机构配售股份,20200309,5723905.00,52774404.10,14.64
002034.SZ,旺能环境,20.59,-0.68,定向增发机构配售股份,20201215,--,--,18.12
002040.SZ,南京港,6.69,1.06,定向增发机构配售股份,20200120,85193430.00,599761747.20,9.27
002044.SZ,美年健康,18.61,1.58,定向增发机构配售股份,20201026,--,--,10.74
002044.SZ,美年健康,18.61,1.58,定向增发机构配售股份,20201118,--,--,11.55
002047.SZ,宝鹰股份,4.77,0.85,定向增发机构配售股份,20201026,--,--,9.20
002048.SZ,宁波华翔,18.07,0.78,定向增发机构配售股份,20201228,--,--,20.51
002050.SZ,三花智控,22.32,-0.13,定向增发机构配售股份,20200918,--,--,5.29
002053.SZ,云南能投,8.22,-0.48,定向增发机构配售股份,20201009,--,--,4.76
002055.SZ,得润电子,18.54,-3.54,定向增发机构配售股份,20200825,14592500.00,249531750.00,28.62
002057.SZ,中钢天源,7.97,1.53,定向增发机构配售股份,20200713,78944451.00,626029496.43,5.32
002057.SZ,中钢天源,7.97,1.53,定向增发机构配售股份,20201009,--,--,5.76
002061.SZ,浙江交科,5.89,1.20,定向增发机构配售股份,20201130,--,--,7.74
002068.SZ,黑猫股份,4.86,0.62,定向增发机构配售股份,20200730,120000000.00,604800000.00,5.24
002084.SZ,海鸥住工,13.28,0.23,定向增发机构配售股份,20201109,--,--,7.20
002086.SZ,*ST东洋,1.88,1.08,定向增发机构配售股份,20201119,--,--,6.84
002091.SZ,江苏国泰,6.51,-0.31,定向增发机构配售股份,20200113,575996125.00,4469729930.00,8.04
002094.SZ,青岛金王,4.51,-0.44,定向增发机构配售股份,20200102,24727380.00,124873269.00,9.54
002094.SZ,青岛金王,4.51,-0.44,定向增发机构配售股份,20200710,26015368.00,114987926.56,13.43
002097.SZ,山河智能,7.95,0.13,定向增发机构配售股份,20201013,--,--,6.33
002101.SZ,广东鸿图,7.38,0.14,定向增发机构配售股份,20200421,103258087.00,777533395.11,11.79
002102.SZ,ST冠福,1.89,0.00,定向增发机构配售股份,20200120,18139794.00,39726148.86,4.02
002113.SZ,*ST天润,1.38,-0.72,定向增发机构配售股份,20200114,17039078.00,40553005.64,7.68
002113.SZ,*ST天润,1.38,-0.72,定向增发机构配售股份,20201229,--,--,7.02
002115.SZ,三维通信,8.91,1.37,定向增发机构配售股份,20200616,4470997.00,43681640.69,7.24
002115.SZ,三维通信,8.91,1.37,定向增发机构配售股份,20201228,--,--,7.21
002121.SZ,*ST科陆,3.72,0.81,定向增发机构配售股份,20200323,19787089.00,77961130.66,8.46
002125.SZ,湘潭电化,7.50,0.13,定向增发机构配售股份,20201123,--,--,6.90
002127.SZ,南极电商,18.15,-3.30,定向增发机构配售股份,20200424,31136305.00,439021900.50,6.52
002128.SZ,露天煤业,10.39,1.86,定向增发机构配售股份,20200821,133033418.00,1439421582.76,7.05
002142.SZ,宁波银行,36.33,5.12,定向增发机构配售股份,20201116,--,--,20.74
002153.SZ,石基信息,33.72,0.00,定向增发机构配售股份,20201221,--,--,16.95
002160.SZ,常铝股份,4.51,-4.25,定向增发机构配售股份,20200925,--,--,2.76
002171.SZ,楚江新材,9.22,1.88,定向增发机构配售股份,20200203,25610929.00,161861071.28,6.22
002171.SZ,楚江新材,9.22,1.88,定向增发机构配售股份,20200331,2915184.00,21747272.64,5.43
002171.SZ,楚江新材,9.22,1.88,定向增发机构配售股份,20200622,121952554.00,1082938679.52,5.41
002171.SZ,楚江新材,9.22,1.88,定向增发机构配售股份,20201222,--,--,--
002174.SZ,游族网络,20.90,0.58,定向增发机构配售股份,20201218,--,--,25.55
002188.SZ,ST巴士,3.41,-2.57,定向增发机构配售股份,20200429,532788.00,2189758.68,11.86
002188.SZ,ST巴士,3.41,-2.57,定向增发机构配售股份,20200513,532788.00,2179102.92,11.86
002189.SZ,中光学,20.43,0.74,定向增发机构配售股份,20200413,22842345.00,379411350.45,15.31
002191.SZ,劲嘉股份,10.59,0.57,定向增发机构配售股份,20201103,--,--,8.06
002196.SZ,方正电机,5.24,-1.50,定向增发机构配售股份,20200224,30000000.00,180000000.00,4.70
002212.SZ,南洋股份,21.81,0.32,定向增发机构配售股份,20200221,218556698.00,5708700951.76,9.65
002225.SZ,濮耐股份,4.86,0.21,定向增发机构配售股份,20200724,145862881.00,660758850.93,4.16
002230.SZ,科大讯飞,37.52,0.73,定向增发机构配售股份,20200720,108000000.00,4079160000.00,26.94
002233.SZ,塔牌集团,15.83,1.67,定向增发机构配售股份,20201027,--,--,8.52
002235.SZ,安妮股份,10.41,-0.48,定向增发机构配售股份,20200928,--,--,10.51
002239.SZ,奥特佳,4.68,2.63,定向增发机构配售股份,20200519,39076132.00,126997429.00,1.61
002240.SZ,威华股份,13.60,6.92,定向增发机构配售股份,20201009,--,--,7.61
002240.SZ,威华股份,13.60,6.92,定向增发机构配售股份,20201116,--,--,14.75
002240.SZ,威华股份,13.60,6.92,定向增发机构配售股份,20201207,--,--,7.57
002243.SZ,通产丽星,14.59,0.21,定向增发机构配售股份,20201214,--,--,10.87
002243.SZ,通产丽星,14.59,0.21,定向增发机构配售股份,20201218,--,--,6.85
002246.SZ,北化股份,8.28,1.22,定向增发机构配售股份,20201113,--,--,9.76
002255.SZ,*ST海陆,4.26,0.71,定向增发机构配售股份,20201229,--,--,7.79
