code,date_free
300477.SZ,20200907
300477.SZ,20201012
300479.SZ,20200326
300479.SZ,20200619
300480.SZ,20200814
300483.SZ,20200226
300483.SZ,20200325
300486.SZ,20200304
300486.SZ,20201026
300490.SZ,20201130
300491.SZ,20200323
300495.SZ,20200402
300500.SZ,20200312
300503.SZ,20200221
300505.SZ,20200227
300513.SZ,20200424
300520.SZ,20200110
300520.SZ,20201211
300523.SZ,20200122
300523.SZ,20200420
300523.SZ,20200515
300525.SZ,20201016
300531.SZ,20201228
300537.SZ,20200717
300563.SZ,20201203
300568.SZ,20200820
300578.SZ,20200205
300578.SZ,20200518
300578.SZ,20201106
300596.SZ,20200723
300601.SZ,20201120
300602.SZ,20201112
300603.SZ,20200507
300604.SZ,20200928
300609.SZ,20201207
300629.SZ,20201016
300629.SZ,20201124
300630.SZ,20201029
300638.SZ,20201130
300655.SZ,20201204
300657.SZ,20200910
300667.SZ,20201027
300667.SZ,20201223
300670.SZ,20201230
300671.SZ,20201230
300673.SZ,20201113
300682.SZ,20200624
300732.SZ,20200122
300732.SZ,20200528
300735.SZ,20201027
300746.SZ,20200930
600000.SH,20200904
600027.SH,20200720
600035.SH,20200224
600039.SH,20200911
600050.SH,20201102
600061.SH,20201027
600070.SH,20200120
600070.SH,20200515
600079.SH,20201103
600097.SH,20201207
600104.SH,20200120
600120.SH,20200615
600131.SH,20201109
600131.SH,20201228
600133.SH,20200921
600133.SH,20201123
600133.SH,20201207
600141.SH,20200824
600141.SH,20201210
600152.SH,20200907
600162.SH,20200414
600170.SH,20200302
600171.SH,20201214
600172.SH,20200326
600179.SH,20200707
600187.SH,20200302
600189.SH,20200716
600189.SH,20201116
600199.SH,20200407
600200.SH,20200422
600211.SH,20200506
600217.SH,20200421
600219.SH,20200608
600222.SH,20200424
600226.SH,20200813
600241.SH,20201211
600242.SH,20200921
600248.SH,20201130
600250.SH,20201228
600260.SH,20200623
600268.SH,20201221
600273.SH,20200713
600277.SH,20200210
600279.SH,20201211
